           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.009318282                16       0.012534956                16      66.385555486                16      54.757993612
   25x30_25_3.00.txt                20       0.077136551                20       0.221555325                20     116.117823811                20       83.00692668
  30x36_200_2.00.txt                 x                 x               136       7.060168736               141     307.181229162               137     201.186832169
  42x50_500_3.00.txt                 x                 x               338     131.158872478               341      634.45710617               338     364.242321955
   10x12_50_0.50.txt                 x                 x                44       1.228966247                44      180.79068858                44     132.494242635
  42x50_100_2.00.txt                 x                 x                62       0.854898699                66     187.037563589                64     141.979213136
  30x36_100_2.00.txt                 x                 x                81       2.579323092                84      237.08073611                81     166.059609668
  42x50_500_1.00.txt                 x                 x               191       9.363947627               195      310.63395617               191     201.846956409
   10x12_25_0.50.txt                25       0.037898359                25       0.234467393                25     116.834360714                25       89.48005877
  25x30_400_2.00.txt                 x                 x               312     187.195458129               314     678.372834327               312     370.790929587
  25x30_100_2.00.txt                 x                 x                84       3.224499067                85     234.093362593                84     173.427921231
   25x30_50_2.00.txt                 x                 x                44       0.649412532                45     157.032698457                44     147.452438259
   10x12_20_1.00.txt                19       0.085165223                19       0.399372175                19     126.106495438                19      76.051486152
   30x36_50_2.00.txt                 x                 x                41       0.470321401                44     154.305388208                41     136.021666152
  25x30_200_2.00.txt                 x                 x               157      27.183737247               166     362.943065231               159     269.991336695
  42x50_200_2.00.txt                 x                 x               125       4.770908755               128     268.211969478               125     187.293725614
  42x50_500_2.00.txt                 x                 x               263      45.594006922               267     447.029260259               263     279.752701165
   42x50_25_2.00.txt                22       0.021539528                21       0.045505664                22      94.072384882                21       84.32750724
  30x36_400_1.00.txt                 x                 x               211      12.490348445               211     345.327046213               211      221.44446336
   30x36_50_1.00.txt                 x                 x                31       0.064020879                32     106.797366106                31     103.581941868
   42x50_25_3.00.txt                22       0.053464787                22       0.133216265                22      98.050358491                22      98.968510206
   42x50_50_1.00.txt                 x                 x                26       0.029005324                27      86.997839199                26      90.853196713
   10x12_10_0.50.txt                 8       0.009121645                 8       0.012129734                 8      53.291788694                 8       33.40410268
  30x36_200_3.00.txt                 x                 x               165       39.83735944               169     419.681989551               165     304.983967041
   25x30_25_1.00.txt                19       0.022330642                19       0.041691549                19      83.212507667                19      74.380024765
  42x50_100_1.00.txt                 x                 x                43       0.138727112                47     124.499410201                43     115.634601603
  30x36_100_1.00.txt                 x                 x                65       0.485459156                67     169.525739129                65      133.42214797
   10x12_20_0.50.txt                18       0.027430549                18       0.112283762                18      91.273414855                18      79.133466332
  30x36_400_3.00.txt                 x                 x               336     259.599483222               340     805.226198451               337     410.583405532
   42x50_50_3.00.txt                 x                 x                37         0.3642462                41     149.107786514                38     129.164232752
  42x50_200_1.00.txt                 x                 x                89       0.945533452               102     199.355345376                89     138.647528886
   30x36_25_2.00.txt                19       0.051707225                19       0.119684423                19       94.00165065                19       76.94943325
   10x12_10_2.00.txt                10       0.048671338                10       0.389645211                10     119.832348562                10      51.682761727
   25x30_50_3.00.txt                 x                 x                47        2.20792525                47     191.921138501                47     144.224272733
  25x30_200_1.00.txt                 x                 x               138        5.23227817               143     261.580700449               138      173.99881659
  25x30_300_2.00.txt                 x                 x               236      71.440943329               240     543.919199052               236     329.856089222
  25x30_200_3.00.txt                 x                 x               177      73.848177889               178     484.358910166               177     326.454142755
   30x36_25_3.00.txt                24       0.090746218                24       0.244542246                24     118.751560912                24     110.743136354
   42x50_50_2.00.txt                 x                 x                36       0.204844978                40     136.016919963                37     123.109910597
   10x12_10_1.00.txt                10       0.026589684                10        0.12172033                10      80.850349829                10      46.442828104
  25x30_400_1.00.txt                 x                 x               247      30.031379504               253     416.044738286               248     275.351841703
  25x30_100_3.00.txt                 x                 x                90      10.679000591                90     291.750066246                90      227.19519463
   25x30_50_1.00.txt                 x                 x                33       0.187914898                41     128.534980422                35     116.480495656
  42x50_100_3.00.txt                 x                 x                70       1.672160543                77     210.441938945                71     160.085505914
   30x36_50_3.00.txt                 x                 x                46       1.241641028                46     187.084488872                46     132.509084551
   25x30_25_2.00.txt                25       0.121048939                25       0.329859141                25     121.172289026                25     119.935425353
   25x30_10_2.00.txt                 9       0.014058443                 9       0.033629467                 9      68.352217487                 9      57.068477148
  30x36_200_1.00.txt                 x                 x               122       2.331243898               125     232.502811844               122     164.523228168
   10x12_20_2.00.txt                20       0.124049255                20       0.990899719                20     156.455976255                20      88.510818128
   30x36_25_1.00.txt                17       0.013978371                16       0.023625849                17      73.385639667                16      66.547883959
  25x30_100_1.00.txt                 x                 x                73       1.224612354                77     183.067062481                73     148.077794224
   10x12_25_2.00.txt                25       0.255293945                25       3.195151263                25     194.533157378                25       99.46747827
  30x36_100_3.00.txt                 x                 x                89       4.784869151                90      234.52794156                89     203.282614497
   10x12_25_1.00.txt                22       0.117718739                22       0.556936246                22     137.132327198                22      94.225284549
  42x50_200_3.00.txt                 x                 x               145      12.564679553               149     338.554385699               145     220.111146093
  25x30_300_3.00.txt                 x                 x               265     207.102777353               265     773.813662311               265     398.386633938
  30x36_400_2.00.txt                 x                 x               271       37.77086832               277     518.225888915               271     301.189998396
  25x30_300_1.00.txt                 x                 x               189      15.222036255               189     341.413056545               189     227.042212723
