           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.007235813                16        0.02556583                16      59.718330324                16      44.852220334
   25x30_25_3.00.txt                20       0.023463262                20       0.469255484                20     161.419423297                20      77.953594953
  30x36_200_2.00.txt                 x                 x               155      12.839522004               155     571.106400471               155      314.16488893
  42x50_500_3.00.txt                 x                 x               408     200.557515015               408    1257.218441544               408       756.9437783
   10x12_50_0.50.txt                 x                 x                44       2.722416809                44     323.986922718                44     118.096239715
  42x50_100_2.00.txt                 x                 x                76       1.610331282                76      287.66640275                76     246.445195039
  30x36_100_2.00.txt                 x                 x                88       4.800972072                88      395.30814766                88     270.935438371
  42x50_500_1.00.txt                 x                 x               301       17.32176994               306     606.521237833               301     441.569258243
   10x12_25_0.50.txt                25        0.02820976                25       0.480758742                25     167.050997284                25      83.114419042
  25x30_400_2.00.txt                 x                 x               359     278.919436775               359    1242.877632056               359     897.141860795
  25x30_100_2.00.txt                 x                 x                86       6.344997038                86     440.847071362                86     216.404536768
   25x30_50_2.00.txt                 x                 x                45       1.274782436                45     262.860227082                45     165.259717297
   10x12_20_1.00.txt                19       0.071720215                19       0.965567343                19     214.844123133                19      74.159299153
   30x36_50_2.00.txt                 x                 x                44       0.855284077                44     245.963736638                44     162.770299628
  25x30_200_2.00.txt                 x                 x               179      41.746102029               179     740.597808028               179     467.095496691
  42x50_200_2.00.txt                 x                 x               156       8.867024317               156      458.92972725               156     376.447167094
  42x50_500_2.00.txt                 x                 x               362      79.845546121               374     897.713137519               362     626.493569895
   42x50_25_2.00.txt                22       0.013940289                22       0.095057993                22      95.828015775                22      82.348263346
  30x36_400_1.00.txt                 x                 x               283      21.753413044               286     616.084234085               283     448.215440446
   30x36_50_1.00.txt                 x                 x                33       0.122392626                33     121.252293214                33      112.73443315
   42x50_25_3.00.txt                22       0.037821371                22       0.309563884                22     144.366208155                22      96.172611775
   42x50_50_1.00.txt                 x                 x                31        0.06085369                31     101.540617115                31     101.338380338
   10x12_10_0.50.txt                 8       0.007672719                 8       0.027660759                 8      53.271945894                 8      29.008428596
  30x36_200_3.00.txt                 x                 x               175      67.504611544               175     871.276347946               175     448.689527253
   25x30_25_1.00.txt                19        0.01685325                19       0.079562326                19      80.781455169                19      68.593435805
  42x50_100_1.00.txt                 x                 x                60       0.217533507                61     155.885129759                60     191.820720398
  30x36_100_1.00.txt                 x                 x                77       0.887980835                77     228.460615559                77      206.97245634
   10x12_20_0.50.txt                18       0.023834313                18       0.241114574                18     125.580101678                18      72.410384676
  30x36_400_3.00.txt                 x                 x               356     383.307373992               356    1484.745602987               356     755.812901018
   42x50_50_3.00.txt                 x                 x                41         0.7128201                41     200.000901776                41     146.970515084
  42x50_200_1.00.txt                 x                 x               125       1.586481416               133     305.768827444               125     282.643159564
   30x36_25_2.00.txt                19       0.042968804                19       0.290186048                19     135.184459429                19      70.913647277
   10x12_10_2.00.txt                10       0.046014064                10       0.851565856                10     188.762864562                10      44.582035877
   25x30_50_3.00.txt                 x                 x                47       3.457475811                47     347.422887057                47     131.314235012
  25x30_200_1.00.txt                 x                 x               167       8.580845679               167     479.800644073               167     322.717020619
  25x30_300_2.00.txt                 x                 x               266     113.906907613               266     989.252593615               266     663.178673354
  25x30_200_3.00.txt                 x                 x               179     114.908358299               179     925.240133268               179     363.071791475
   30x36_25_3.00.txt                24        0.03061323                24       0.567659657                24     183.498271414                24     108.918565323
   42x50_50_2.00.txt                 x                 x                44       0.369574577                44     173.843303467                44     174.702086665
   10x12_10_1.00.txt                10       0.020381386                10       0.263619277                10     100.735916016                10      42.194697366
  25x30_400_1.00.txt                 x                 x               313      49.668734924               316     739.042163837               313     562.564703201
  25x30_100_3.00.txt                 x                 x                90      18.981385213                90      537.41884144                90     195.342149768
   25x30_50_1.00.txt                 x                 x                43       0.319849126                43     153.902488338                43     154.782467538
  42x50_100_3.00.txt                 x                 x                81       2.830048553                81     347.802191156                81     249.459042915
   30x36_50_3.00.txt                 x                 x                46       2.656753166                46       303.7551093                46     132.368294085
   25x30_25_2.00.txt                25       0.080496969                25       0.644529968                25     172.818697382                25     105.311099395
   25x30_10_2.00.txt                 9       0.011648773                 9       0.071391956                 9      75.220667912                 9      46.020237354
  30x36_200_1.00.txt                 x                 x               147       4.308166323               150     376.789896947               147     323.557975825
   10x12_20_2.00.txt                20       0.103897654                20        2.08304612                20     256.089929964                20      88.912328489
   30x36_25_1.00.txt                17        0.01063428                17       0.045399051                17      71.446797746                17      61.006059345
  25x30_100_1.00.txt                 x                 x                82       2.029635523                82     305.337492875                82     208.307790975
   10x12_25_2.00.txt                25        0.18539125                25       4.904029822                25     355.361138781                25      88.487148787
  30x36_100_3.00.txt                 x                 x                90       8.909274561                90     462.365031639                90     165.991838939
   10x12_25_1.00.txt                22       0.093210946                22       1.091465661                22     224.404952932                22      83.291452822
  42x50_200_3.00.txt                 x                 x               164      18.954364244               164     604.119745544               164     350.084281154
  25x30_300_3.00.txt                 x                 x               271     304.492265087               271    1349.889668189               271     575.950754951
  30x36_400_2.00.txt                 x                 x               307      54.252292084               307     939.256246526               307     561.365051517
  25x30_300_1.00.txt                 x                 x               237      24.882045339               239      642.82789409               237     474.914380253
