           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.018091714                16       0.009586879                16       63.99977686                16      43.215492025
   25x30_25_3.00.txt                20       0.079758087                20       0.168551679                20      99.449106277                20      58.243931411
  30x36_200_2.00.txt                 x                 x               142       3.780848017               148     275.630347978               142     164.632553739
  42x50_500_3.00.txt                 x                 x               330      67.700851115               338     597.787624212               330     295.528170016
   10x12_50_0.50.txt                 x                 x                44       0.825726382                44     152.643621076                44      97.883176932
  42x50_100_2.00.txt                 x                 x                69       0.526774319                72     148.177832768                69     107.812634411
  30x36_100_2.00.txt                 x                 x                85       1.634860905                86      192.06189093                85     122.708164568
  42x50_500_1.00.txt                 x                 x               165        5.26815187               166     253.189176059               165     162.885205776
   10x12_25_0.50.txt                25       0.062153934                25       0.157824451                25     102.325004581                25      59.032493473
  25x30_400_2.00.txt                 x                 x               310     103.896905398               325     634.221023333               318      273.38544436
