           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.017204162                16        0.01408094                16      56.836872858                16      33.964559692
   25x30_25_3.00.txt                20       0.074475387                20       0.257395709                20     113.156209206                20      62.268884665
  30x36_200_2.00.txt                 x                 x               155       4.755420071               155     318.997134187               155     209.201518352
  42x50_500_3.00.txt                 x                 x               399      78.111255674               399     864.882516758               399     500.388383311
   10x12_50_0.50.txt                 x                 x                44       1.206516595                44     178.539831468                44      80.421608927
  42x50_100_2.00.txt                 x                 x                76       0.705240496                76     185.933555842                76     138.375582695
  30x36_100_2.00.txt                 x                 x                86       2.071307466                87     265.117324411                86     135.592902629
  42x50_500_1.00.txt                 x                 x               216       7.052810552               222     383.338411327               216     272.089932702
   10x12_25_0.50.txt                25       0.089002017                25       0.263108379                25     126.576389992                25      53.430240894
  25x30_400_2.00.txt                 x                 x               352     115.387018387               352     886.367582209               352     520.428578213
  25x30_100_2.00.txt                 x                 x                86       2.868143992                86     272.315442246                86     156.515683384
   25x30_50_2.00.txt                 x                 x                45       0.575693085                45     165.704602844                45      94.988101583
   10x12_20_1.00.txt                19       0.080240569                19       0.479483247                19     137.228464513                19       37.23907696
   30x36_50_2.00.txt                 x                 x                44        0.39379268                44     153.489529292                44      83.663889922
  25x30_200_2.00.txt                 x                 x               179      16.217861401               179     476.223321172               179       289.4019423
  42x50_200_2.00.txt                 x                 x               150        3.43177941               153     300.630135304               150     205.898606156
  42x50_500_2.00.txt                 x                 x               327      28.766972624               332       617.7726449               327     374.540157232
   42x50_25_2.00.txt                22       0.046070055                22       0.056850966                22      83.392207309                22      50.615146651
  30x36_400_1.00.txt                 x                 x               231       8.178426463               239     429.154956179               231     268.833848265
   30x36_50_1.00.txt                 x                 x                30       0.063001166                33       96.62284028                30      54.372823803
   42x50_25_3.00.txt                22       0.065983196                22       0.168914903                22      98.943529401                22      50.959497039
   42x50_50_1.00.txt                 x                 x                30       0.064227146                31      89.865151851                30      60.179730778
   10x12_10_0.50.txt                 8       0.010113535                 8        0.01513324                 8      55.082257979                 8       24.06350709
  30x36_200_3.00.txt                 x                 x               173      29.673358911               173     559.840667672               173     281.138756601
   25x30_25_1.00.txt                19        0.03277888                19       0.047005412                19      78.529493682                19      44.042107595
  42x50_100_1.00.txt                 x                 x                59       0.116569789                61     135.537222662                59     104.350830839
  30x36_100_1.00.txt                 x                 x                77       0.401059487                77      166.81701617                77     123.746279436
   10x12_20_0.50.txt                18        0.04322744                18       0.121452417                18      83.410895562                18      41.236720489
  30x36_400_3.00.txt                 x                 x               355      170.92700827               355    1074.264178398               355     507.970005872
   42x50_50_3.00.txt                 x                 x                41       0.314060436                41     134.956461413                41      72.382954596
  42x50_200_1.00.txt                 x                 x               105       0.862246307               119     216.592489992               105     162.902635965
   30x36_25_2.00.txt                19       0.049712821                19       0.129510087                19      92.754613001                19      40.511975373
   10x12_10_2.00.txt                10       0.038850806                10       0.399167658                10     108.795904693                10      27.182810019
   25x30_50_3.00.txt                 x                 x                47       1.596737818                47     203.503019174                47      72.124066472
  25x30_200_1.00.txt                 x                 x               155       3.476147173               161     304.753332046               155     233.226706549
  25x30_300_2.00.txt                 x                 x               264      48.447288056               264       665.9777036               264     423.374606329
  25x30_200_3.00.txt                 x                 x               179      56.930021568               179     594.328086219               179     218.021070529
   30x36_25_3.00.txt                24       0.069757743                24       0.257514558                24     119.809283805                24      52.679240165
   42x50_50_2.00.txt                 x                 x                44       0.183880762                44     128.401276891                44      83.606903337
   10x12_10_1.00.txt                10       0.021969808                10       0.127289153                10      76.033205821                10      27.546996754
  25x30_400_1.00.txt                 x                 x               279      19.181502958               283      516.56446151               279       340.1770097
  25x30_100_3.00.txt                 x                 x                90       8.700186989                90       383.4380604                90     134.664003426
   25x30_50_1.00.txt                 x                 x                43       0.158681868                43     125.610479948                43      91.691854503
  42x50_100_3.00.txt                 x                 x                80       1.546894678                81     228.426615786                80     136.638353068
   30x36_50_3.00.txt                 x                 x                46       1.161534042                46     197.666398182                46      87.045202742
   25x30_25_2.00.txt                25       0.035812237                25       0.336900373                25     124.033841993                25      57.877772421
   25x30_10_2.00.txt                 9       0.016662135                 9       0.039249924                 9       66.24890678                 9      31.988036604
  30x36_200_1.00.txt                 x                 x               134        1.93456768               139      259.24642198               134     189.966138069
   10x12_20_2.00.txt                20       0.060971973                20        1.11848205                20     155.765824445                20      33.409600305
   30x36_25_1.00.txt                17       0.023053786                17       0.022972716                17      62.158624106                17      41.857993535
  25x30_100_1.00.txt                 x                 x                81       0.904467995                82       195.8079408                81     147.519902561
   10x12_25_2.00.txt                25       0.135828224                25       2.687475761                25     245.188849131                25      43.820921257
  30x36_100_3.00.txt                 x                 x                90       4.296237697                90     303.173797581                90     147.286466063
   10x12_25_1.00.txt                22        0.05526717                22       0.641811674                22     153.998383848                22      40.772286591
  42x50_200_3.00.txt                 x                 x               162       8.827651184               162     412.803964559               162     219.657026809
  25x30_300_3.00.txt                 x                 x               271     162.938839981               271      915.55676055               271     341.327119617
  30x36_400_2.00.txt                 x                 x               305       24.08294728               306     621.752307469               305     356.234437724
  25x30_300_1.00.txt                 x                 x               211      10.189865815               214     440.816854002               211     309.413220963
