           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.018337133                16       0.015421901                16      67.684630587                16      47.009505544
   25x30_25_3.00.txt                20       0.080054853                20       0.269704935                20     132.617268345                20      76.603156637
  30x36_200_2.00.txt                 x                 x               153        6.27923378               155      402.03295894               153     265.418793169
  42x50_500_3.00.txt                 x                 x               385     107.445542335               387     966.099957482               385     473.838229389
   10x12_50_0.50.txt                 x                 x                44       1.421173794                44     213.991629866                44     104.248472347
  42x50_100_2.00.txt                 x                 x                75       0.866873108                76     210.344173959                75     175.437414008
  30x36_100_2.00.txt                 x                 x                87       2.373932541                87     281.618862825                87     180.257243113
  42x50_500_1.00.txt                 x                 x               229       8.186273661               231      389.30031236               229     260.976118619
   10x12_25_0.50.txt                25       0.061106346                25       0.290077379                25     133.351542755                25      68.859687409
  25x30_400_2.00.txt                 x                 x               346     148.277340023               348     979.239571385               346     501.538113946
  25x30_100_2.00.txt                 x                 x                86       3.365287796                86     290.752137754                86     168.919025368
   25x30_50_2.00.txt                 x                 x                45        0.66186455                45     185.361699616                45     121.611057896
   10x12_20_1.00.txt                19        0.09183323                19       0.496789991                19     149.478641538                19      55.443837367
   30x36_50_2.00.txt                 x                 x                44       0.481595255                44     173.100367439                44     121.276546243
  25x30_200_2.00.txt                 x                 x               178      21.943645013               178     483.013177091               178     335.527397296
  42x50_200_2.00.txt                 x                 x               146       4.367852284               152     334.066237775               146     236.637800813
  42x50_500_2.00.txt                 x                 x               333      37.478099045               336     643.796209217               333     377.264336134
   42x50_25_2.00.txt                22       0.051875783                22       0.058214269                22      92.529374094                22      72.543120678
  30x36_400_1.00.txt                 x                 x               236      10.310196772               246     435.102526163               236     264.232338278
   30x36_50_1.00.txt                 x                 x                33       0.065875471                33     110.527335973                33      86.627184929
   42x50_25_3.00.txt                22       0.090518186                22       0.148046475                22     112.473499158                22      69.735401866
   42x50_50_1.00.txt                 x                 x                31       0.034221593                31      97.746472605                31      81.659710626
   10x12_10_0.50.txt                 8       0.010885457                 8       0.015446035                 8      57.071264832                 8      30.041613875
  30x36_200_3.00.txt                 x                 x               173      36.961910233               173     591.844485943               173     372.463811802
   25x30_25_1.00.txt                19       0.035528015                19       0.050427896                19      84.283214419                19       62.26735368
  42x50_100_1.00.txt                 x                 x                56       0.141505934                59     141.251196903                56     135.151534576
  30x36_100_1.00.txt                 x                 x                75        0.49504391                75     184.562900166                75     165.247581648
   10x12_20_0.50.txt                18       0.048085792                18        0.13539933                18       98.79865625                18      58.729408131
  30x36_400_3.00.txt                 x                 x               356     221.217217856               356    1106.622272269               356     542.482167795
   42x50_50_3.00.txt                 x                 x                41       0.393021805                41     158.970967646                41     102.413533799
  42x50_200_1.00.txt                 x                 x               112       0.920555113               122     238.851321657               112     182.341254553
   30x36_25_2.00.txt                19       0.055718424                19       0.150662368                19     105.938825768                19      54.575289161
   10x12_10_2.00.txt                10       0.045659205                10       0.499720584                10     128.498029137                10      37.127685493
   25x30_50_3.00.txt                 x                 x                47       1.772017027                47     233.557604914                47     106.651331923
  25x30_200_1.00.txt                 x                 x               158       5.608391646               161      348.06642912               158     247.574698884
  25x30_300_2.00.txt                 x                 x               263      58.823340719               263     791.681777727               263     408.872873325
  25x30_200_3.00.txt                 x                 x               179      56.981418748               179     698.236227519               179     277.797880018
   30x36_25_3.00.txt                24       0.098240201                24       0.337139446                24     129.120851284                24      69.992163328
   42x50_50_2.00.txt                 x                 x                44       0.214560397                44     151.415983848                44     118.326727342
   10x12_10_1.00.txt                10       0.025565249                10       0.152738987                10      86.254802786                10      37.132594188
  25x30_400_1.00.txt                 x                 x               283      24.309292508               293     536.344070357               283     335.850267701
  25x30_100_3.00.txt                 x                 x                90      10.746563194                90     394.317922659                90     182.858804207
   25x30_50_1.00.txt                 x                 x                43        0.18173362                43     136.002237589                43      122.45032794
  42x50_100_3.00.txt                 x                 x                81       1.611805088                81     256.180450492                81     188.809517806
   30x36_50_3.00.txt                 x                 x                46       1.382160948                46     211.753231932                46       86.53119699
   25x30_25_2.00.txt                25       0.099569893                25       0.324356747                25     146.411800687                25      82.130194144
   25x30_10_2.00.txt                 9       0.018098862                 9       0.040489886                 9       71.44347248                 9      43.457158286
  30x36_200_1.00.txt                 x                 x               135        2.43514243               138     284.350406656               135     201.130596975
   10x12_20_2.00.txt                20        0.11126253                20       1.074382569                20     180.230146835                20      59.596474699
   30x36_25_1.00.txt                17       0.025670252                17       0.026337224                17      73.236272985                17      57.960556728
  25x30_100_1.00.txt                 x                 x                81       1.195616163                82     229.794190656                81     183.641130346
   10x12_25_2.00.txt                25       0.254987904                25       2.511740645                25     258.495323536                25      76.928172067
  30x36_100_3.00.txt                 x                 x                90       4.593651941                90     314.166467102                90     159.045789795
   10x12_25_1.00.txt                22       0.125810052                22       0.609009735                22     168.279975992                22      62.790168652
  42x50_200_3.00.txt                 x                 x               162      11.085787818               162     425.123375303               162     281.458553202
  25x30_300_3.00.txt                 x                 x               271     207.009072297               271     982.231353286               271     424.257320459
  30x36_400_2.00.txt                 x                 x               293      30.204325667               299      683.73942041               293     343.600435712
  25x30_300_1.00.txt                 x                 x               215      12.508467972               219     456.794451556               215     308.870356899
