           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16        0.00945863                16       0.021699427                16      69.697431037                16      53.388120717
   25x30_25_3.00.txt                20       0.073140449                20       0.383368747                20     144.951971024                20      91.957402052
  30x36_200_2.00.txt                 x                 x               155       9.744454171               155     490.718699152               155     335.438415264
  42x50_500_3.00.txt                 x                 x               402     160.597986767               402     1150.69586023               402     691.663972413
   10x12_50_0.50.txt                 x                 x                44       1.934246188                44     273.721064662                44     133.279860874
  42x50_100_2.00.txt                 x                 x                76       1.176042952                76     245.941000643                76     244.956283693
  30x36_100_2.00.txt                 x                 x                88       5.866200061                88     351.795104393                88     249.676249991
  42x50_500_1.00.txt                 x                 x               276      15.388965707               278     507.843520628               276     349.824624222
   10x12_25_0.50.txt                25       0.036144656                25       0.402032957                25     160.302591138                25      82.932515641
  25x30_400_2.00.txt                 x                 x               352     235.462769873               355    1130.331698299               352     756.287887298
  25x30_100_2.00.txt                 x                 x                86       4.884917209                86     372.426966202                86     212.896150371
   25x30_50_2.00.txt                 x                 x                45       0.963929103                45     222.918460709                45     151.445837173
   10x12_20_1.00.txt                19       0.084132593                19        0.72943101                19     177.632986998                19       71.94914063
   30x36_50_2.00.txt                 x                 x                44       0.746196725                44     205.072856904                44     132.700412237
  25x30_200_2.00.txt                 x                 x               179      34.185684033               179      609.48007152               179     516.789478144
  42x50_200_2.00.txt                 x                 x               148       6.640794802               153     417.467179347               148     336.291362279
  42x50_500_2.00.txt                 x                 x               356       66.86972401               367     794.127854273               356     551.989340059
   42x50_25_2.00.txt                22        0.01625251                22       0.075727387                22      97.642056753                22      80.864045048
  30x36_400_1.00.txt                 x                 x               268       16.38740896               270     552.072548221               268     388.825997566
   30x36_50_1.00.txt                 x                 x                33       0.094936162                33     125.234427991                33     110.624720361
   42x50_25_3.00.txt                22       0.055879394                22       0.235393827                22     123.696734197                22      91.460866339
   42x50_50_1.00.txt                 x                 x                31       0.047908782                31       106.3500128                31     102.088974995
   10x12_10_0.50.txt                 8       0.013300381                 8       0.022764832                 8      60.293412651                 8      33.442357808
  30x36_200_3.00.txt                 x                 x               174      56.907679082               174     711.632288757               174     434.797883009
   25x30_25_1.00.txt                19       0.023833437                19       0.071009854                19      90.488271221                19      74.352997054
  42x50_100_1.00.txt                 x                 x                58       0.197649405                61     171.680846831                58     184.527737281
  30x36_100_1.00.txt                 x                 x                77       0.724589745                77     223.288214233                77     206.231998931
   10x12_20_0.50.txt                18       0.027278513                18       0.193495189                18     127.537430202                18      73.515277655
  30x36_400_3.00.txt                 x                 x               356     328.669206413               356    1266.423509857               356     639.953922907
   42x50_50_3.00.txt                 x                 x                41       0.546440527                41     195.114376618                41     152.634483709
  42x50_200_1.00.txt                 x                 x               120       1.431304564               128     280.348592305               122     258.905423996
   30x36_25_2.00.txt                19       0.054843116                19       0.227167352                19     127.561411019                19      65.841091499
   10x12_10_2.00.txt                10       0.044497528                10        0.66125005                10     160.953551171                10       48.06441653
   25x30_50_3.00.txt                 x                 x                47       3.212658156                47     283.707445571                47     129.892361267
  25x30_200_1.00.txt                 x                 x               167       6.854558991               167     426.031178405               167     334.602789194
  25x30_300_2.00.txt                 x                 x               265       85.87519975               265     865.360596464               265     553.023517146
  25x30_200_3.00.txt                 x                 x               179      86.644639673               179     856.426809261               179     369.060037767
   30x36_25_3.00.txt                24       0.094322093                24       0.448597752                24      164.99099067                24     107.425719458
   42x50_50_2.00.txt                 x                 x                44       0.301380201                44     163.718173603                44     166.623183868
   10x12_10_1.00.txt                10       0.026242341                10       0.229692819                10     101.056625203                10      43.895826339
  25x30_400_1.00.txt                 x                 x               311      39.283918006               311     682.268452266               311      479.21030816
  25x30_100_3.00.txt                 x                 x                90      14.282580266                90     494.536985953                90     248.444941982
   25x30_50_1.00.txt                 x                 x                43       0.265832299                43     152.690473267                43     148.461794872
  42x50_100_3.00.txt                 x                 x                81       3.561900886                81     323.607221584                81       251.6601891
   30x36_50_3.00.txt                 x                 x                46       2.093809667                46     269.692212364                46     131.669487423
   25x30_25_2.00.txt                25       0.100097992                25       0.551170423                25     152.337579396                25     115.176782549
   25x30_10_2.00.txt                 9       0.014186007                 9       0.062244188                 9      85.564624718                 9       54.88763676
  30x36_200_1.00.txt                 x                 x               143        3.59931674               146     341.840004816               143      294.27650822
   10x12_20_2.00.txt                20       0.128020504                20       1.719459166                20     230.763893391                20      73.778173294
   30x36_25_1.00.txt                17        0.01355967                17       0.037163469                17      78.878427369                17      66.453033889
  25x30_100_1.00.txt                 x                 x                82       1.642065284                82     258.274624284                82     218.084430198
   10x12_25_2.00.txt                25       0.277966302                25       4.116565737                25     306.065542084                25      90.799656894
  30x36_100_3.00.txt                 x                 x                90       7.003775263                90     402.998698272                90     201.147981119
   10x12_25_1.00.txt                22       0.113728026                22       0.923539328                22     205.542896656                22      83.466159826
  42x50_200_3.00.txt                 x                 x               164      15.992840859               164     520.837006878               164     353.578142274
  25x30_300_3.00.txt                 x                 x               271     301.193305708               271    1200.016038846               271      419.82294035
  30x36_400_2.00.txt                 x                 x               303      45.173884812               307     839.885223998               303     486.639909656
  25x30_300_1.00.txt                 x                 x               229      18.195995049               234     541.337202573               229     406.639240291
