           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                11        0.15605518                10       0.005717917                10      53.520165141                10      35.458399063
   25x30_25_3.00.txt                19        0.69128598                16       0.093079304                19      73.854040584                17      48.824206774
  30x36_200_2.00.txt                 x                 x                87       3.010392112                90     143.770399598                87      78.892975787
  42x50_500_3.00.txt                 x                 x               220      52.795480641               221     289.313873748               225     135.473164394
   10x12_50_0.50.txt                 x                 x                38       0.472549798                40      97.276079868                38       58.51556797
  42x50_100_2.00.txt                 x                 x                36       0.337402513                38       90.94092953                36      57.693273914
  30x36_100_2.00.txt                 x                 x                59       1.089633858                59     120.048627073                59      68.795457962
  42x50_500_1.00.txt                 x                 x                94       3.600766808                94     138.059489646                94      72.959695095
   10x12_25_0.50.txt                24       0.304945715                22       0.083416831                24      70.275672895                22      47.661544907
  25x30_400_2.00.txt                 x                 x               203      75.619185375               216     263.974851217               213     128.357303667
  25x30_100_2.00.txt                 x                 x                61       1.214019951                63     104.508783591                61       60.50210757
   25x30_50_2.00.txt                 x                 x                32       0.232161192                36      79.483751873                32      51.075569137
   10x12_20_1.00.txt                19       0.058176208                19       0.140203933                19       71.34941718                19       46.80664503
   30x36_50_2.00.txt                 x                 x                31       0.163772389                33      73.742891417                31      46.067048417
  25x30_200_2.00.txt                 x                 x               117       9.296085362               118     150.108868052               117      93.578487032
  42x50_200_2.00.txt                 x                 x                81       1.877329335                81     118.562156243                81       64.99925343
  42x50_500_2.00.txt                 x                 x               153      16.218760949               156     171.764014565               153      96.904505394
   42x50_25_2.00.txt                15       1.645951298                12       0.016796032                15      55.135269077                14      36.084353758
  30x36_400_1.00.txt                 x                 x               111       4.327449101               113     138.487795247               111      69.022200988
   30x36_50_1.00.txt                 x                 x                23       0.025367471                24      63.706178172                23      40.813389528
   42x50_25_3.00.txt                19       0.306867123                17       0.047368295                19      62.842992382                17      40.955147085
   42x50_50_1.00.txt                 x                 x                16       0.011112633                17      55.587347766                16      35.555938713
   10x12_10_0.50.txt                 8       0.007403029                 8       0.004134291                 8      44.833806272                 8      26.679467734
  30x36_200_3.00.txt                 x                 x               106      17.373696828               124     170.769056053               124      98.318007293
   25x30_25_1.00.txt                13       0.077032958                11       0.014991325                13      51.084394741                13      34.498641801
  42x50_100_1.00.txt                 x                 x                29       0.048715694                30      68.030474845                29      40.757569236
  30x36_100_1.00.txt                 x                 x                40        0.17843626                40      78.094728461                40      46.989205936
   10x12_20_0.50.txt                18       0.093657281                15       0.048797704                18      61.351393505                16      39.390088589
  30x36_400_3.00.txt                 x                 x               245     102.003528107               245     276.681566413               253     132.597521765
   42x50_50_3.00.txt                 x                 x                28        0.13579117                31      73.852564206                28      44.237008047
  42x50_200_1.00.txt                 x                 x                46       0.337511688                50      81.650325079                46      50.411690977
   30x36_25_2.00.txt                18       0.323121168                16        0.04638836                18      61.019111671                17      40.871653852
   10x12_10_2.00.txt                10       0.040051413                10       0.124511995                10       57.78918939                10      36.130755063
   25x30_50_3.00.txt                 x                 x                40       0.633245008                43      89.034874732                40       62.19150697
  25x30_200_1.00.txt                 x                 x                83       1.736223149                84     108.068335876                83       59.82293673
  25x30_300_2.00.txt                 x                 x               169      28.104944466               172     205.630364113               176     105.187723699
  25x30_200_3.00.txt                 x                 x               138      27.249485682               147     213.182158582               143     105.524813804
   30x36_25_3.00.txt                21       1.863360994                19       0.088636827                21      72.290324373                20      43.180679916
   42x50_50_2.00.txt                 x                 x                27       0.072336135                28      68.087037879                27      42.041841587
   10x12_10_1.00.txt                10       0.023187485                10       0.041547527                10      50.302398887                10      35.431278409
  25x30_400_1.00.txt                 x                 x               140      10.768136039               141     167.151850089               140      86.982462852
  25x30_100_3.00.txt                 x                 x                71       3.770193484                78     125.135104798                72      79.152047537
   25x30_50_1.00.txt                 x                 x                24       0.078786355                28       69.71422281                24      42.758120819
  42x50_100_3.00.txt                 x                 x                54       0.586238912                55        94.4142202                54       57.03307687
   30x36_50_3.00.txt                 x                 x                35       0.465532658                40      88.701673058                35        55.3965416
   25x30_25_2.00.txt                22       0.835574771                19       0.116150333                22       64.15768692                20      45.424835154
   25x30_10_2.00.txt                 9       0.074165231                 8       0.010845754                 9      50.960890495                 8      33.797236766
  30x36_200_1.00.txt                 x                 x                70       0.861853943                71      97.879417763                71      58.326786225
   10x12_20_2.00.txt                20       0.103018278                20       0.349078627                20       74.81538564                20      52.980131876
   30x36_25_1.00.txt                12       0.106422895                 9       0.008641819                12      48.910338026                11      31.759264902
  25x30_100_1.00.txt                 x                 x                48       0.396199223                48      81.768733146                48      49.133780871
   10x12_25_2.00.txt                25       0.158121081                25       0.786711474                25      80.427612645                25      60.913225534
  30x36_100_3.00.txt                 x                 x                71       1.833272832                74     107.665050174                71      66.428820964
   10x12_25_1.00.txt                22       0.098666014                19       0.181565275                22      72.031915357                22      47.248221862
  42x50_200_3.00.txt                 x                 x                96       4.446082699                98      136.73035583               100      73.156486494
  25x30_300_3.00.txt                 x                 x               197       93.03665974               204     274.695294914               212     128.088810259
  30x36_400_2.00.txt                 x                 x               163      15.038089138               163     202.377330611               173      97.644183619
  25x30_300_1.00.txt                 x                 x               108       4.902800368               109     137.102403702               108      76.612819276
