           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.181618898                16       0.040244618                16      37.719763405                16      34.932129968
   25x30_25_3.00.txt                20       0.045323139                20       0.584111985                20      70.367350762                20      56.980493834
  30x36_200_2.00.txt                 x                 x               149       4.365627381               151     207.532900031               149      209.18781362
  42x50_500_3.00.txt                 x                 x               373      65.966197828               379     504.062973179               373     495.316172594
   10x12_50_0.50.txt                 x                 x                44       0.896844842                44     109.990246363                44      91.392033856
  42x50_100_2.00.txt                 x                 x                74       0.573913804                76      114.01405678                74     142.466785409
  30x36_100_2.00.txt                 x                 x                83       1.551687249                84     147.571874226                83      151.67982602
  42x50_500_1.00.txt                 x                 x               176       4.838964826               177     201.788476717               176     243.769089649
   10x12_25_0.50.txt                25       0.035122185                25       0.162166158                25       69.33302624                25      51.609979681
  25x30_400_2.00.txt                 x                 x               340      86.752489443               343     533.290193015               340      547.19332834
  25x30_100_2.00.txt                 x                 x                86        1.97989169                86     161.027984724                86     176.947565219
   25x30_50_2.00.txt                 x                 x                45       0.447102254                45     103.944904714                45      99.036106744
   10x12_20_1.00.txt                19       0.092045371                19       0.416728027                19      80.167491389                19      43.201772959
   30x36_50_2.00.txt                 x                 x                44       0.292538924                44      86.876559457                44      82.888759026
  25x30_200_2.00.txt                 x                 x               174      11.987328398               175     255.275844432               174     318.703658592
  42x50_200_2.00.txt                 x                 x               133       2.529145628               137     183.158187146               133     216.583769702
  42x50_500_2.00.txt                 x                 x               302      22.252247017               304     372.683877978               302       370.9771207
   42x50_25_2.00.txt                22        0.03257861                22       0.044581308                22      48.482749562                22      49.202307698
  30x36_400_1.00.txt                 x                 x               205       7.053745242               205     251.894773915               205     271.635331104
   30x36_50_1.00.txt                 x                 x                31        0.05106129                32      57.189653599                31      51.160978487
   42x50_25_3.00.txt                22        0.07007117                20       0.116924535                22      59.727886689                20      47.855714883
   42x50_50_1.00.txt                 x                 x                27       0.025751196                29      51.896444355                27       57.31931441
   10x12_10_0.50.txt                 8       0.010593644                 8       0.014025987                 8      33.362509503                 8      24.647050899
  30x36_200_3.00.txt                 x                 x               173      21.094138499               173      329.87836986               173     293.048335522
   25x30_25_1.00.txt                19        0.02220396                19       0.034400588                19      47.026766673                19      46.136683853
  42x50_100_1.00.txt                 x                 x                57       0.100373052                60       76.99828033                57     101.049219089
  30x36_100_1.00.txt                 x                 x                75       0.332175559                76     101.705601959                75     132.770405106
   10x12_20_0.50.txt                18       0.045465594                18       0.095868644                18      53.987262332                18      37.747155753
  30x36_400_3.00.txt                 x                 x               354     123.794468223               354     592.239171612               354     537.533741189
   42x50_50_3.00.txt                 x                 x                39       0.302015375                41      80.448219072                39      75.776388324
  42x50_200_1.00.txt                 x                 x                91       0.583171603                94     116.047308956                91     152.664402432
   30x36_25_2.00.txt                19       0.025194675                19       0.104007787                19      58.743779761                19      48.177137711
   10x12_10_2.00.txt                10       0.037955195                10       0.332148599                10      66.161225462                10      30.800274202
   25x30_50_3.00.txt                 x                 x                47       1.270875914                47     120.466137688                47      83.046854528
  25x30_200_1.00.txt                 x                 x               148       2.753352453               151     193.205791981               148     217.269288212
  25x30_300_2.00.txt                 x                 x               256      32.566029444               258      412.85046902               257     410.915401003
  25x30_200_3.00.txt                 x                 x               179      41.255707723               179     360.869808934               179     269.625550841
   30x36_25_3.00.txt                24       0.062887747                24       0.227128891                24      68.368967114                24      46.066352455
   42x50_50_2.00.txt                 x                 x                43       0.139846589                44      72.039785972                43      90.699128452
   10x12_10_1.00.txt                10       0.023963154                10       0.095503677                10      43.904291133                10      27.690292586
  25x30_400_1.00.txt                 x                 x               252      11.881196088               256     300.039062057               252     328.974121192
  25x30_100_3.00.txt                 x                 x                90        6.53367346                90     210.485892951                90     144.897070184
   25x30_50_1.00.txt                 x                 x                43       0.140588199                43       66.22605433                43      75.492853844
  42x50_100_3.00.txt                 x                 x                78       1.018424847                81     120.123244373                78     134.355650996
   30x36_50_3.00.txt                 x                 x                46       0.813551446                46     100.645573765                46       73.86991862
   25x30_25_2.00.txt                25       0.036946267                25        0.19445981                25      68.891470507                25      61.013519106
   25x30_10_2.00.txt                 9       0.013325734                 9        0.02930824                 9      34.703745993                 9      26.547797704
  30x36_200_1.00.txt                 x                 x               115       1.322382252               123     129.874587758               115     162.752185387
   10x12_20_2.00.txt                20       0.066662947                20       0.841722259                20      83.517077092                20      32.366647805
   30x36_25_1.00.txt                17        0.01477596                17       0.020758441                17      36.801938583                17      36.120412534
  25x30_100_1.00.txt                 x                 x                79       0.677606363                82       108.4518981                79     141.728529784
   10x12_25_2.00.txt                25       0.097957056                25       1.910504517                25     113.449947652                25      40.188370309
  30x36_100_3.00.txt                 x                 x                90       2.830509381                90     158.350820153                90     122.127603756
   10x12_25_1.00.txt                22       0.040395084                22       0.419361096                22      75.156522149                22      35.809622442
  42x50_200_3.00.txt                 x                 x               155       5.636100969               156     210.225908305               155     227.955701822
  25x30_300_3.00.txt                 x                 x               270      116.04709558               270     492.570155686               270     388.932862427
  30x36_400_2.00.txt                 x                 x               284       16.55559646               285     310.909730802               284     286.085386275
  25x30_300_1.00.txt                 x                 x               189       6.170688725               193     213.713726165               189     240.738386472
