       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m23k1                 x                 x                22        0.06358786                23               231      51.669773606                23                76      49.825845434                18               435      50.560214962                22                 0      47.782462776
     m23k2                 x                 x                24       0.029419959                26                 9      54.763699032                26                30      53.133671106                18                99      71.640336882                24                 0      59.368854752
     m23k3                 x                 x                27       0.014852936                28                75      57.047649267                28              1717      56.764684529                23                37      90.301871845                27                 0      59.301590546
     m23k4                 x                 x                28       0.014809436                28                11       59.26256988                28                 0      57.784646267                24               409     102.363507071                28                 0      68.267835004
     m23k5                 x                 x                28       0.016805076                28                50      61.536342023                28                 0      58.879618375                28               308     110.617771806                28                 0      72.106891253
     m23k6                 x                 x                28       0.018273412                28                 4       60.21633847                28                 0      62.620054299                25               120     119.767187097                28                 0      78.900914931
     m23k7                 x                 x                28       0.019503913                28                11      63.918554534                28                 0      61.942799282                28              1294      125.64767951                28                 0      79.705302742
     m23k8                 x                 x                28       0.021243543                28                 7      62.249498284                28                 0      61.236582193                27              3089      132.68139688                28                 0      81.775784779
     m23k9                 x                 x                28       0.022513216                28                 2      64.559901669                28                 0      62.809741645                28              2322     134.008609985                28                 0      80.959876696
    m23k10                 x                 x                28       0.024176423                28                 5      65.677912668                28                 0      60.021329866                28              6092     133.240079369                28                 0      81.678867458
    m23k11                 x                 x                28       0.025626755                28                 9      64.138255432                28                 0      63.369869197                28              2562     135.100949225                28                 0      81.996769669
    m23k12                 x                 x                28       0.026323776                28                 4       64.90037692                28                 0      61.871905034                28               647     134.222893471                28                 0      81.118081975
    m23k13                 x                 x                28       0.028396549                28                 4      64.203528217                28                 0      62.882085574                28              3093     135.406822563                28                 0      83.076079107
    m23k14                 x                 x                28       0.029820035                28                 5      65.034837801                28                 0       61.87863012                28              1985      134.09053145                28                 0      81.875474992
    m23k15                 x                 x                28       0.030713187                28                10        64.9624455                28                 0      63.679801998                28              2807     134.224528652                28                 0      82.167131059
    m23k16                 x                 x                28       0.032876392                28                 8      64.050191677                28                 0      62.857236532                28             12148     134.121939012                28                 0      81.646444255
    m23k17                 x                 x                28       0.033463549                28                11      63.393839207                28                 0      61.611792872                28               883       134.8832531                28                 0      81.934192795
    m23k18                 x                 x                28       0.035195615                28                 4      65.391943934                28                 0      63.693309877                28               359     134.096130821                28                 0      82.388245019
    m23k19                 x                 x                28       0.037037614                28                 9       64.75765644                28                 0      62.412818385                28              4866     133.656197487                28                 0      80.763775128
    m23k20                 x                 x                28       0.036312433                28                 4      64.769771547                28                 0      61.766130812                28              2690     136.461729171                28                 0      80.607128701
    m23k21                 x                 x                28       0.076286584                28                 6      63.472231523                28                 0      62.496911618                28              4869     129.433790587                28                 0      81.536484558
    m23k22                 x                 x                28       0.041984024                28                 9      64.628583451                28                 0      62.196300677                28             10607     130.804100022                28                 0       78.07827396
    m23k23                 x                 x                28       0.040935909                28                 9      64.253785653                28                 0      62.008812776                28              5360     131.656758395                28                 0      80.568238062
    m23k24                 x                 x                28        0.04380524                28                 8      62.905128728                28                 0      60.727782542                28              3629     127.960198734                28                 0      78.923664932
    m23k25                 x                 x                28       0.044883088                28                 4      61.078296863                28                 0       59.22695434                28               318     132.658518463                28                 0      80.962836737
    m23k26                 x                 x                28       0.046073194                28                 3      59.788429072                28                 0      62.376062879                28              2093     131.925282275                28                 0      80.057941251
    m23k27                 x                 x                28       0.047538279                28                 7      63.122044875                28                 0      60.770971398                28               854     131.254410948                28                 0      77.985378316
    m23k28                 x                 x                28       0.047480746                28                11      64.101353555                28                 0      61.260937484                28              1685     129.482651067                28                 0      81.841227755
    m23k29                 x                 x                28       0.051588394                28                 4      61.900344293                28                 0       63.42155502                28              2436     133.551515681                28                 0      80.935847905
