       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m12k1                 x                 x                50       0.878126721                46               831      83.314847624                50                 0      94.030490083                27                 4      69.480426054                50                 0      71.712359291
     m12k2                 x                 x                88       1.420326699                79              6462     108.674547603                88                 0     123.180293768                53               270      93.237014612                88                 0      92.571716619
     m12k3                 x                 x               116       1.649948504               105              1418     142.372072471               116                 0     145.817333871                68               573     116.516357637               116                 0     117.589126429
     m12k4                 x                 x               138       1.975954702               122             37705      167.34296689               138                 0     182.869157379                78                91     139.534362358               138                 0     139.427215214
     m12k5                 x                 x               156       2.531243707               139             23755     174.887681132               157               170     191.171160452                97               250     160.820535271               156                 0     159.260640346
     m12k6                 x                 x               172       3.103606677               159             14375     195.097047783               172                 0     212.075045639               112               578     176.401238349               172                 0     180.090455764
     m12k7                 x                 x               189       3.437088733               162              1230     212.267328981               190              2336     229.839075006               119              1965     202.171504278               189                 0     199.881475314
     m12k8                 x                 x               196       3.862463637               172              4269     246.502570561               198             26287     262.255278748               132              1026     227.317810041               196                 0     223.419193999
     m12k9                 x                 x               208       4.754516426               183             10669     249.109247901               210              9424     279.842267167               140              1097     244.385959994               208                 0      243.83077257
    m12k10                 x                 x               218       4.738667665               194             26365     285.896059354               221             23118     296.743852816               156               943      263.59939063               218                 0     266.158193657
    m12k11                 x                 x               226       5.469753065               197             12902     315.173567555               229             14811     319.753524288               150              1660     291.159001355               226                 0     304.417339272
    m12k12                 x                 x               231      11.241736838               204             14127    1013.272407884               233             45241     288.405086124               165              1164     274.437596326               231                 0     265.602371575
    m12k13                 x                 x               237       4.774667458               207              1013     295.606257704               238             44572     295.066761579               171              1108     290.985574828               237                 0      297.63998216
    m12k14                 x                 x               240       5.126693624               217             35022     303.683381485               240                 0     323.143923766               177               456     322.972181653               240                 0     321.207684409
    m12k15                 x                 x               242       6.106272124               220              2389     345.182063598               242                 0     327.214814049               191              1183     342.659493548               242                 0     359.666113645
    m12k16                 x                 x               244       6.898954418               224             20417     393.290639892               244                 0     400.731242067               192              1860     364.527581267               244                 0     363.242122423
    m12k17                 x                 x               247        6.51788092               225               517     392.472986514               247                 0     383.519727285               195               609     408.577118482               247                 0     410.182518388
    m12k18                 x                 x               248       7.585747435               225              2785     410.205243957               248                 0     410.407889823               193               558     431.449738368               248                 0     413.786042897
    m12k19                 x                 x               249       6.840298566               223             18146     392.948142011               249                 0     423.923436749               215              1086     444.336718095               249                 0     453.833670372
    m12k20                 x                 x               245       7.827185635               229              2083     461.523541022               246               419     452.894510244               196              1495     438.159102788               245                 0     429.892899797
