       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
      m3k1                 x                 x                 4       0.017762157                 4                 0      26.483107301                 4                 0      25.717374001                 4                74      21.893126863                 4                 0      21.099360076
      m3k2                 x                 x                 5        0.01151783                 7                 2      29.498180723                 7                 0       29.81247341                 7               241      25.008559297                 6               214      24.859714108
      m3k3                 x                 x                 9       0.003785658                 9                 0      31.195202389                 9                 0      30.612195309                 7                 7      25.514786899                 9                 0      25.958650271
      m3k4                 x                 x                11       0.002956865                12             38662      32.234666849                11                 0      31.543918921                 9                98      29.620320357                11                 0      28.490892003
      m3k5                 x                 x                12       0.003296104                12                14      33.501809846                12                 0      32.594353425                11               291      31.184664313                12                 0      31.385927426
      m3k6                 x                 x                12       0.003853549                12                10      33.613442953                12                 0      33.734874843                11               100      32.724073348                12                 0      32.764575832
      m3k7                 x                 x                12       0.003813072                12                16      35.082063571                12                 0      34.507713832                11              1435      33.179212073                12                 0      33.951986811
      m3k8                 x                 x                12       0.004467389                12                19      34.377460156                12                 0       34.06406082                12               667      37.170072385                12                 0      37.123419534
      m3k9                 x                 x                12       0.004944527                12                 8      33.455452816                12                 0      32.428950992                12              2089      36.616193885                12                 0      34.431491502
     m3k10                 x                 x                12       0.004994048                12                15      34.432128234                12                 0      34.943753793                12              1561      39.088628377                12                 0      35.770127073
     m3k11                 x                 x                12       0.005206209                12                 6      34.918843737                12                 0      33.704195119                12              2114      38.914759588                12                 0      34.454758266
     m3k12                 x                 x                12        0.00505813                12                20      32.035157348                12                 0      32.710219037                12               442      37.895519579                12                 0      34.776947761
     m3k13                 x                 x                12       0.006074846                12                 4      34.131436198                12                 0      34.502679156                12               735      40.357709787                12                 0      36.373051967
     m3k14                 x                 x                12        0.00641792                12                 3      34.738059954                12                 0      33.150010954                12              5211      37.518478234                12                 0       36.49378921
     m3k15                 x                 x                12       0.006774591                12                 4      34.821125662                12                 0      35.894664907                12              2124      40.050523562                12                 0      36.933582779
     m3k16                 x                 x                12       0.006936566                12                 9      35.330003404                12                 0      35.068584651                12               429      39.663087758                12                 0      35.896482404
     m3k17                 x                 x                12       0.007108169                12                15      34.205169481                12                 0      33.086050091                12              1235      40.138937004                12                 0      35.982079428
     m3k18                 x                 x                12       0.014943687                12                 4      33.776589766                12                 0      34.276359049                12               483      37.793018399                12                 0      36.908850269
     m3k19                 x                 x                12       0.008247021                12                 5      34.011979777                12                 0      33.522435061                12               253      38.731387561                12                 0      34.444125591
     m3k20                 x                 x                12       0.008007589                12                27      32.557969706                12                 0      32.489152213                12               405      38.991593836                12                 0      35.811001733
     m3k21                 x                 x                12        0.00802365                12                10      34.819990202                12                 0       35.28213419                12              1154      38.932207846                12                 0      34.223956238
     m3k22                 x                 x                12       0.008531434                12                 7      33.973148235                12                 0      35.887144026                12              6216      40.994859454                12                 0      37.047873732
     m3k23                 x                 x                12       0.009399662                12                 4      34.598476802                12                 0      35.601852891                12              1461      40.819519899                12                 0       36.59438794
