       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m27k1                 x                 x                56       0.399201239                57               207     229.050819522                57                 5     225.226734137                34               125      89.462824922                56                 0      87.671975773
     m27k2                 x                 x                72       0.482556678                79              1449       276.4511096                79               414     269.353174202                52                38     134.183070345                72                 0     130.495386965
     m27k3                 x                 x                78       0.507910269                79               249     294.080457761                79                11      305.63953919                65               123     171.492912095                78                 0     147.994131594
     m27k4                 x                 x                78       0.364199239                79               202     344.905575494                79                 7     351.471533926                70               579     209.322845563                78                 0     168.567999963
     m27k5                 x                 x                78        0.43614655                79                55     393.255421413                79                 3     389.349838737                70               858     259.864998187                78                 0     212.045456033
     m27k6                 x                 x                79       0.478603005                79                49     420.871179639                79                 0     442.290133619                75               207     309.690254432                79                 0     217.584455694
     m27k7                 x                 x                79        0.49626132                79                 6     458.510744743                79                 0     465.345071631                76               375     347.734229735                79                 0     230.578827199
     m27k8                 x                 x                79       0.580264077                79                20     508.503921063                79                 0      501.71013012                77               418     384.619228087                79                 0     295.320614878
     m27k9                 x                 x                79        0.68108055                79                 7     544.144457811                79                 0     514.624020818                76               214     390.356028892                79                 0      265.51335312
    m27k10                 x                 x                79       0.614674836                79                26     573.918650883                79                 0     565.815249499                78              1510     454.964960336                79                 0     266.023588933
    m27k11                 x                 x                79       0.735309994                79                 2     631.010451859                79                 0     608.608911277                78               283      489.94691722                79                 0     318.139228481
    m27k12                 x                 x                79       0.759535497                79                 5     628.710071643                79                 0     656.116008257                78              1322     541.625278746                79                 0     350.162528943
    m27k13                 x                 x                79       0.773830543                79                 3     683.081694197                79                 0     711.578452909                78               269     557.578911758                79                 0     359.006751915
    m27k14                 x                 x                79        0.86701285                79                 2     701.740006334                79                 0     693.563085533                78               238     608.539909883                79                 0     380.115134651
    m27k15                 x                 x                79        0.96331573                79                 0     748.821257615                79                 0     732.323697631                79              2139     652.488426123                79                 0     439.943092349
    m27k16                 x                 x                79        1.07005049                79                 1     878.102306605                79                 0     845.283755618                79               946     739.254542315                79                 0     455.271335782
    m27k17                 x                 x                79       1.145568014                79                 3     893.539599492                79                 0      908.68178935                79              1489     773.612298556                79                 0     472.876309093
    m27k18                 x                 x                79       1.197986252                79                 0     938.926849614                79                 0     914.083645357                79               290     795.192721686                79                 0     491.867448012
    m27k19                 x                 x                79       1.188029779                79                 3     961.913268124                79                 0     923.404225399                79              7825     826.255749743                79                 0     509.926995416
    m27k20                 x                 x                79       1.341337023                79                 0     954.858165144                79                 0      942.40675133                78               273     831.439687042                79                 0      520.75773326
    m27k21                 x                 x                79       1.362813648                79                 4     990.245414501                79                 0     969.412276179                79               859     852.241642843                79                 0     528.246207767
    m27k22                 x                 x                79       1.460382745                79                 0    1009.152827797                79                 0     962.408205846                79               303     873.209476993                79                 0     543.610104596
    m27k23                 x                 x                79       1.485135982                79                 3    1036.185699611                79                 0     965.270555775                79              1365     873.151703223                79                 0       536.2182189
    m27k24                 x                 x                79       1.567248222                79                 2    1021.107873991                79                 0     984.596041166                79               773     902.873342849                79                 0      542.92162908
    m27k25                 x                 x                79       1.647359135                79                 1    1046.805077633                79                 0    1040.031743328                79               680     898.553053858                79                 0     556.729486748
    m27k26                 x                 x                79       1.721385622                79                 1    1074.399067892                79                 0     1061.36448375                79               389     932.782702651                79                 0     555.676547119
    m27k27                 x                 x                79       1.791679586                79                 0    1073.807726298                79                 0      983.95912523                79              1338      911.90273158                79                 0     561.128583213
    m27k28                 x                 x                79        1.89748972                79                 2    1074.975772726                79                 0      942.40437321                79              1370     903.437090103                79                 0     534.794003794
    m27k29                 x                 x                79       1.835831549                79                 1    1043.515479081                79                 0     980.207488781                79              1290     868.709971559                79                 0     517.041432252
