       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m24k1                 x                 x                53       0.379902947                53               260      225.49170584                54                 4     218.847593524                34               177       85.62965377                53                 0      86.333810417
     m24k2                 x                 x                68       0.330559767                75              7302     274.349761781                77              2003       275.3570505                52               143     125.692217953                68                 0     125.195093347
     m24k3                 x                 x                78       0.392401396                79               284     317.601108281                79                21      307.77271717                58               159     167.025882043                78                 0     161.080395667
     m24k4                 x                 x                78       0.355490839                79               266     332.657289363                79                29     337.175407614                66               148     210.265115637                78                 0     183.710298647
     m24k5                 x                 x                78       0.426981261                79                93     366.065120236                79                 7     375.954266783                70               659     255.152336603                78                 0      227.62178813
     m24k6                 x                 x                79       0.494137853                79                62     405.971170696                79                 0       410.1431852                77               233     296.015445091                79                 0     236.242061188
     m24k7                 x                 x                79       0.528451477                79                40     431.436331095                79                 0      447.18303923                75               844       335.9738418                79                 0     253.091961508
     m24k8                 x                 x                79       0.579178262                79                 5     480.415303899                79                 0     480.905002521                76               145     373.265592218                79                 0     307.052667553
     m24k9                 x                 x                79       0.626736467                79                 6     510.976125186                79                 0     514.568902417                77               109     409.199670154                79                 0     297.802516108
    m24k10                 x                 x                79       0.654975299                79                 3     562.050183716                79                 0     559.203978297                78               985     436.849862862                79                 0     296.210367363
    m24k11                 x                 x                79       0.721862639                79                 5     602.130292027                79                 0     583.637979259                77               435     465.661368067                79                 0     323.705699021
    m24k12                 x                 x                79       0.730720025                79                 4     607.101738801                79                 0     608.219001515                78               176     512.157361781                79                 0     381.915382053
    m24k13                 x                 x                79       0.834223794                79                 2     654.741898144                79                 0     678.627056304                78              1303     550.498228574                79                 0     380.479601683
    m24k14                 x                 x                79       0.857715837                79                 2     700.699294476                79                 0     669.731227457                78               160     588.117205451                79                 0     401.975109069
    m24k15                 x                 x                79       0.932071151                79                 2     739.469018426                79                 0     713.530032294                79              2166     614.875570317                79                 0     424.607048493
    m24k16                 x                 x                79       0.991876298                79                 4     763.565381983                79                 0     720.057940634                79               472     623.042424973                79                 0     405.986579313
    m24k17                 x                 x                79       1.028704564                79                 3     795.848163601                79                 0     718.804655444                79               712     637.109999711                79                 0     434.478501979
    m24k18                 x                 x                79       1.019290792                79                 2     770.648938104                79                 0     788.004023689                79               475     660.103891544                79                 0     441.584878791
    m24k19                 x                 x                79        1.10271624                79                 3     789.056636016                79                 0     774.222694494                79              3414     648.115398515                79                 0     433.335917337
    m24k20                 x                 x                79        1.14829778                79                 2     805.623996557                79                 0     737.590288075                79              1137     662.498387325                79                 0     438.469091405
    m24k21                 x                 x                79       1.075609541                79                 2     800.019222502                79                 0     823.185498035                79              2335     701.317430871                79                 0     451.035522645
    m24k22                 x                 x                79       1.144803448                79                 3     848.311518678                79                 0     793.768053517                79              4063     688.986335763                79                 0     450.080867908
    m24k23                 x                 x                79       1.308636545                79                 1     868.279908195                79                 0     821.841931992                79              2249     731.356157828                79                 0     512.743619653
    m24k24                 x                 x                79       1.474197223                79                 1     983.976581422                79                 0     879.835249005                79               200     775.256960673                79                 0     523.148298916
    m24k25                 x                 x                79       1.593607188                79                 0     979.393666908                79                 0     893.619131966                79               237     791.983773546                79                 0     526.325011967
    m24k26                 x                 x                79       1.487575828                79                 2     1004.81619997                79                 0      960.58063299                79               995     801.911491854                79                 0     529.747244737
    m24k27                 x                 x                79       1.566290309                79                 1    1000.638829233                79                 0     960.271523884                79              2341     802.537468325                79                 0     526.417352918
    m24k28                 x                 x                79       1.613272217                79                 1    1003.868333856                79                 0     882.703167608                79              1342     813.633035999                79                 0     528.790946861
    m24k29                 x                 x                79       1.737281297                79                 1    1001.254931644                79                 0     882.948304962                79              5518     816.995366077                79                 0     528.839571184
