       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m7k10                 x                 x               212       5.743475978               168               399     188.702008284               213               159     227.064579953               152               521      202.56773183               212                 0     194.847657828
     m7k11                 x                 x               217       5.808205389               180             24173     210.587465579               218              4476     242.534356371               150              1190     222.959753338               217                 0     218.527106438
     m7k12                 x                 x               218       6.469664443               176               450     232.576793227               219              2346     260.108124441               157              3041     228.484551052               218                 0     226.415714511
     m7k13                 x                 x               221       6.789643461               194              1192     249.345980867               222               316     287.938627818               169              2534     264.206012705               221                 0     263.826968333
     m7k14                 x                 x               221       8.119204272               185              8524     249.925732638               221                 0     294.241285824               176               394     276.043762509               221                 0     270.443741522
     m7k15                 x                 x               223       8.433970342               198              2504     294.661747073               223                 0     292.335466824               174              2317      270.53601689               223                 0     272.673058498
     m7k16                 x                 x               224       8.537549866               193              6238     299.312912853               224                 0     334.903820054               170               268     293.940106684               224                 0     279.070562768
     m7k17                 x                 x               225       9.696910093               199               773     333.649047944               225                 0     347.045639106               176               490     301.535110289               225                 0       299.1428556
     m7k18                 x                 x               225        9.44136245               201               291     329.784581702               225                 0     344.915065253               175               511     304.849640183               225                 0     304.789830131
     m7k19                 x                 x               226      10.735942152               202               242     350.631224629               226                 0     366.336257637               178               442     316.275038126               226                 0     316.500119354
     m7k20                 x                 x               227      10.399966893               199               220     367.058313361               227                 0     379.718973547               186               183     333.758168448               227                 0     335.117451378
