       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
    m17k10                 x                 x               107       0.901898586               116             35894     218.321711045               116               740     226.652797437               100               354     291.878926737               109                94     296.337625807
    m17k11                 x                 x               108       0.750381298               116             39283     231.683724222               116                24     239.632920133               102              1189     324.155335221               109                29     324.821875631
    m17k12                 x                 x               107       0.851022552               115             26489     254.620279466               116                31     270.943257984               102              2113     350.810988912               109                92     352.663556843
    m17k13                 x                 x               109       0.989197688               116             40375     271.267791808               116                38     279.162004131               107               871     373.019569493               109                 0     372.104596294
    m17k14                 x                 x               106       0.963690963               116               763     273.416154427               116              7908      292.08716645               106              2218     391.615351979               106                 0     390.860523949
    m17k15                 x                 x               106       1.007745129               116             27227     292.120072871               117             39123     308.430459098               108              1221      419.63198501               107               191     416.319987872
    m17k16                 x                 x               106       1.058094608               116                94     318.514149342               116                67     314.554672465               108              1271     431.086797811               106                 0     429.938975048
    m17k17                 x                 x               109       1.087171428               116             10222     330.865982244               116                23     325.876679782               111              1068     456.499941019               111               356      439.29010377
    m17k18                 x                 x               109       1.162597503               116               855     341.337103721               117             34631     348.307538915               109               570     481.367326381               111                71     475.885608357
    m17k19                 x                 x               109       1.282471176               116               932      338.95027334               116                56      346.99469753               112               930       503.4252667               111               345     488.889081013
    m17k20                 x                 x               109       1.323972354               117             23154      372.04639676               116                22     367.675170828               113               908      526.57288096               110                19     508.021276204
