       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
    m19k10                20       0.285003482                20       1.350967125                20                 0     252.236330044                20                 0      253.33562814                20                 0     395.293885375                20                 0     119.857472251
    m19k11                20       0.096129874                20       1.316450101                20                 0     271.640971485                20                 0     272.333694161                20                 0     428.589830175                20                 0     107.495265611
    m19k12                20       0.084428962                20       1.433646936                20                 0     291.327872082                20                 0     297.595521392                20                 0     456.108694928                20                 0     111.709590818
    m19k13                20       0.091112481                20       1.728218664                20                 0     308.509162144                20                 0     302.654752651                20                 0     485.776210907                20                 0     120.366573042
    m19k14                20       0.092945389                20       1.704252667                20                 0     324.949448931                20                 0     325.529749068                20                 0     509.581969104                20                 0     133.100090715
    m19k15                20       0.085354155                20       1.752663702                20                 0     340.943667189                20                 0      337.54693388                20                 0     528.877749973                20                 0     134.836571089
    m19k16                20        0.08121213                20       1.902083662                20                 0     352.490906533                20                 0     350.212554977                20                 0     550.187939728                20                 0     138.294549301
    m19k17                20       0.075839537                20       1.930685212                20                 0     368.846793489                20                 0     362.374470672                20                 0     559.676980351                20                 0     142.275961909
    m19k18                20       0.071698898                20       2.056392412                20                 0     381.163040117                20                 0     384.497327714                20                 0     588.314823577                20                 0     146.411291087
    m19k19                20       0.076570803                20       2.192112949                20                 0     398.223188366                20                 0     396.844905565                20                 0     609.764814711                20                 0     152.469619066
    m19k20                20        0.07959223                20       2.268026435                20                 0     402.494531693                20                 0     405.795533216                20                 0     623.088544628                20                 0     154.512357167
