       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
      m7k1                 x                 x                58        2.04218177                48               375      79.093575136                58                 0     104.760507111                37               170      67.649775741                58                 0      65.959201871
      m7k2                 x                 x               101       3.026070233                83               429     113.526866329               101                 0     139.651964704                72               270      74.544159458               101                 0      78.126491136
      m7k3                 x                 x               119       3.878058939               106              3416     146.879450333               122                29     157.474252722                82               487      88.679061278               119                 0       91.31573498
      m7k4                 x                 x               137        5.34465099               120             44877     159.933482543               141                95     181.904450648               102               192     108.660576652               137                 0     103.259126288
      m7k5                 x                 x               144       5.486818016               137              1278     180.836434824               152              1058     208.051090681               111               390     131.844286007               144                 0     131.717123572
      m7k6                 x                 x               156       7.471200609               141              2968     197.419899164               158                80     231.938572211               123              1317     152.881207824               156                 0     148.023454932
      m7k7                 x                 x               158       8.283591083               143               419      215.76322164               161                98     234.314236629               132               619     177.032550267               158                 0     177.523510617
      m7k8                 x                 x               170       8.927629961               152             15250     233.257763899               172                20     261.001715469               137               539     198.769330794               170                 0     195.324004382
      m7k9                 x                 x               169      10.818176486               156               131     275.914399207               170                26     300.254816894               144               194     217.354436459               170                 0     218.545487234
     m7k10                 x                 x               175      11.943907293               154               421     244.902248374               177                52     281.202537517               147               112     245.238186057               175                 0      241.25060312
     m7k11                 x                 x               178      12.460391953               164             15903     297.952900068               178                 0     297.377264391               151              2427      264.89565552               178                 0     263.134803833
     m7k12                 x                 x               179      13.832015436               158              6186     305.713397007               179                 0       331.5346883               148              1506     292.222806476               179                 0      284.87203874
     m7k13                 x                 x               181       15.49364793               166             14844     295.047412984               181                 0     327.588769168               153              1015     301.149937293               181                 0     297.249810382
     m7k14                 x                 x               176      16.388221232               164              9399      324.77421772               177                 7     359.095490999               160               754     339.770325276               176                 0     337.590254828
     m7k15                 x                 x               177      16.829679178               166               204     341.719190455               178               156     392.486009903               158               816     367.674568214               177                 0     351.479702353
     m7k16                 x                 x               181      18.572272586               171               272     350.825573099               181                 0     401.182077828               160              2058     383.719213586               181                 0     382.975561225
     m7k17                 x                 x               181      18.106328598               170               861     403.313050454               182               621     435.949501306               165               954     410.948866376               181                 0     393.796257691
     m7k18                 x                 x               182      21.951529857               169                61     450.401752775               182                 0     428.367736953               164               398     415.155150867               182                 0     413.078638635
     m7k19                 x                 x               182      22.633368334               174               161     470.637108292               182                 0     473.777369881               166              2401     449.679797861               182                 0     434.647024351
     m7k20                 x                 x               183      21.969127618               174               118      470.75587349               183                 0     476.524752124               170              2269     487.608364196               183                 0     475.450448231
      m8k1                 x                 x                66        1.87730242                55               616      94.761897291                66                 0     112.065339532                36                42      75.618721826                66                 0      74.160711822
      m8k2                 x                 x               114       3.404074686                90              1030     116.312703528               114                 0     133.373390627                63                85      85.348987758               114                 0      84.533475486
      m8k3                 x                 x               133         4.1207319               116              1614     159.316076363               136                23     168.387537371                99               216     102.757890601               133                 0     102.074891894
      m8k4                 x                 x               152        5.52708049               126             15612     176.332921432               156                67     190.185245154               118               675     126.610081558               152                 0     129.915794332
      m8k5                 x                 x               160       6.958241228               138                94     208.279821743               166              3538      244.13171522               129              1256     153.905569393               160                 0     152.934643499
      m8k6                 x                 x               172       8.025864345               152              6516     215.729546973               175                48     255.450846532               147               503     179.399997791               172                 0     177.419760287
      m8k7                 x                 x               173       9.865951585               164              1416     244.955131622               176              2805      285.09011243               141              1729     194.788488522               173                 0     210.573319568
      m8k8                 x                 x               182      11.151068609               163             43764     269.903459972               184                47     278.591377858               153               254     225.578107034               182                 0      225.34447177
      m8k9                 x                 x               183      12.280713711               166               332     270.911570522               184                19     305.181197685               156              1034     250.085321932               183                 0     248.134403639
     m8k10                 x                 x               189      13.975885068               173                84      297.94591241               191                57     309.967624409               158               696     279.959289819               189                 0     280.115083946
     m8k11                 x                 x               192      14.673001975               174                73     324.842871339               192                 0     338.334718447               164               276     306.481726632               192                 0     305.421406049
     m8k12                 x                 x               193      14.559679792               180               201     354.229332144               193                 0     368.060656736               158              3008     320.269366725               193                 0     328.744107999
     m8k13                 x                 x               194      16.664747343               183              5905     377.921121898               194                 0     406.895649011               175               359     349.058315723               194                 0     341.621207128
     m8k14                 x                 x               190      16.319850532               178               848     406.485508894               190                 0     436.274688258               171               569     385.780296819               190                 0     385.455916763
     m8k15                 x                 x               191      18.199967058               183             30827     429.976693692               191                 0     460.917762635               170              1223     415.404090718               191                 0     405.430017046
     m8k16                 x                 x               194      19.474953633               183             13401     476.477485084               194                 0     541.073393376               174              1762     483.810260892               194                 0     479.215268737
     m8k17                 x                 x               193      21.177055723               185                75     505.010625671               193                 0     572.674805247               174              1294      517.68370406               193                 0     506.827060576
     m8k18                 x                 x               195      26.809550488               186               314     539.409809826               195                 0     584.837663876               180              1451     538.110172478               195                 0     520.029463658
     m8k19                 x                 x               195       26.38754897               180               190     542.044364229               195                 0     584.823899034               177               508     567.672236545               195                 0     574.113332113
     m8k20                 x                 x               196      27.773637517               185               123     580.599958557               196                 0      633.57471676               181              5271     596.723871114               196                 0     595.246955884
      m9k1                 x                 x                73       2.206632087                64               149     105.168627023                73                 0     132.815154487                46               136      89.567337405                73                 0      86.812954209
      m9k2                 x                 x               126       3.879214792                98              1629     145.726373995               126                 0     174.090596744                76                99     101.661794316               126                 0     102.982976861
      m9k3                 x                 x               143       4.560092625               127              3569     192.343253165               148               463     202.169196789               109               414     124.780795957               143                 0     123.051875975
      m9k4                 x                 x               165       6.941034212               138              3873     205.041682782               170                91     246.602235884               129               274     151.713310147               165                 0     153.761003496
      m9k5                 x                 x               174       7.664303308               160             14028      240.90724524               183              9819     289.841975288               128                99     188.689432786               174                 0      179.72130831
      m9k6                 x                 x               185      10.141601055               167               833     263.320974158               189             33227     314.436281499               144               162     214.727045884               185                 0     213.241427491
      m9k7                 x                 x               184      10.982338957               174               267     284.943151748               186             20006     342.387529899               151               531     243.759455139               184                 0     245.941006501
      m9k8                 x                 x               194      11.527088043               178             17110     309.863017065               196                16     382.056782709               161              1388     272.765561717               194                 0     256.217085117
      m9k9                 x                 x               194      12.253933227               183              5243     331.548142885               194                 0     359.158435918               161               647      272.03795648               194                 0     278.929573827
     m9k10                 x                 x               200      14.040268508               183               121     339.204032076               201                31     386.277478304               165              1129     294.152291557               200                 0     303.776465972
     m9k11                 x                 x               201      14.530383168               186               302     367.383592276               201                 0     389.592007026               178               764     329.680372327               201                 0     325.488750326
     m9k12                 x                 x               202      15.415390415               186               743     380.270648114               202                 0     424.336649426               176               879      371.45942598               202                 0     364.236906078
     m9k13                 x                 x               203      18.084245281               192               337     399.598561345               203                 0     437.419428798               176              1057     392.636621057               203                 0     396.606982501
     m9k14                 x                 x               199       17.50081956               191              1065     484.948885307               200              1402     525.519547312               183              1801     441.911736637               199                 0     429.934189615
     m9k15                 x                 x               200      17.816905603               187               177     472.972355429               200                 0     575.596806329               186              1074      477.65296369               200                 0     491.254109405
     m9k16                 x                 x               203      22.815307543               189                90     529.741580169               203                 0     560.445112683               183              1777     489.066211692               203                 0     492.687869024
     m9k17                 x                 x               202      22.181555555               193              1435     607.344754982               202                 0     587.668659709               186               723     542.375587603               202                 0     510.908773539
     m9k18                 x                 x               204      24.784780232               191              1219     554.924379316               204                 0      586.11803611               186              3631     534.577218518               204                 0     538.980521431
     m9k19                 x                 x               204      25.451477796               194                94     617.492457948               204                 0      674.44472425               191              3926     666.622580751               204                 0     658.965592721
     m9k20                 x                 x               205      28.709986953               196              3034     727.426200755               205                 0     703.038799341               191              2088     714.772064991               205                 0     689.720258084
