       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m10k1                 x                 x                41       0.260290319                42               161      66.437546212                42                27      65.338694167                24                33      45.138810757                41                 0      45.619107049
     m10k2                 x                 x                54         0.2960314                57              1655      83.942659039                58              2706      80.211712973                37                61      60.744712533                54                 0      60.855433266
     m10k3                 x                 x                61       0.235330471                68              4095      96.671911015                65              1106      90.588542375                48               318      80.508944422                61                 0      79.141364862
     m10k4                 x                 x                66       0.233581528                72             13038     101.296031567                72               441     106.242180574                54               519      97.912054595                66                 0      98.312400961
     m10k5                 x                 x                68       0.279690585                72             13163     112.162678158                72              4967     113.017292026                56               497     114.059505842                68                 0     113.819347345
     m10k6                 x                 x                69       0.281692039                73             37089     117.364999032                74              2782     119.320582353                62               440     131.978988375                69                 0     130.267557227
     m10k7                 x                 x                68       0.360761113                74             16071     129.632796965                74             16061     134.748148877                62               162     145.178231844                68                 0     143.004407006
     m10k8                 x                 x                69       0.410099206                74             10710     141.162140075                73               421     144.699213086                63               434     164.654297702                69                 0     165.950263023
     m10k9                 x                 x                71       0.441845704                74             10271     143.578279083                73                10     146.419155925                65              1117     186.508125762                71                 0     185.279593327
    m10k10                 x                 x                69       0.479467666                74               750     162.178209172                73               461     142.415707816                67               509     208.815551976                69                 0     211.316911904
    m10k11                 x                 x                66       0.584521565                74                71     167.305235447                74             12350     156.233372505                66               240     225.021242807                67               282     225.817873094
    m10k12                 x                 x                66       0.585309795                74              2041     173.865230244                73                39     183.238981456                68               784     232.962033798                67               490     234.266400116
    m10k13                 x                 x                66       0.646966222                74               214     184.301226988                73                46     178.880145596                69               638     250.612699782                68                 8     252.630203999
    m10k14                 x                 x                66       0.641932144                74                74     195.360405484                74              3083     197.795443023                70              1410     276.220299599                68               367     269.995660227
