       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
      m6k9                 x                 x                84       0.869053227                89             48959     113.735318099                87             10406      113.39606362                71              2332     115.357217375                84                 0     118.797949506
     m6k10                 x                 x                84       0.638146569                86              6852     125.526553906                90             36023     121.226818578                72               988     122.797665116                84                 0      135.50733323
     m6k11                 x                 x                86       0.779828615                89              7253     143.916373927                89                71     139.743430124                78              1371     142.514824674                86                 0     148.815831722
     m6k12                 x                 x                81       0.894192055                89             10473     159.120533344                91             23140     152.332106594                75               691      156.60087445                85               337     155.647515464
     m6k13                 x                 x                83        0.92354207                88              4427     167.364384865                90               128     157.800753698                81               814     167.631768437                84                16     169.855209913
     m6k14                 x                 x                83       1.038577703                86              1235     174.310131816                90              1516     169.388014231                83              2317     180.950900865                83                 0     187.856975116
     m6k15                 x                 x                83       1.064420665                91              5844     176.023955239                91               848     186.863718224                81               926     199.009742131                83                 0     198.019889559
     m6k16                 x                 x                83       1.131693469                92              1039     199.418984479                90               158     184.996656315                82               551     209.167394097                86               451     210.314419461
     m6k17                 x                 x                83       1.300455523                91               153     192.180421973                90              1862     191.995774363                80               278     228.993732863                84               127     227.332352013
     m6k18                 x                 x                83        1.27509341                92                89     202.095747879                91               922     206.662262907                86               641      238.04277785                90              1094     238.535528328
     m6k19                 x                 x                82       2.454270993                92                33     206.434839808                91                63     217.077366813                85              1225     256.178984296                89              1549     253.909939366
     m6k20                 x                 x                82       1.407577527                92                55     213.812759547                91                15     232.054681156                90               375     271.542134064                88                91     267.858573611
